address,area,price
嘉盛豪园-瑞景,思明,1800
橡胶新村-文园路,思明,2600
罗宾森广场-厦禾路,思明,7500
罗宾森广场二期-厦禾路,思明,3300
假日香港广场-厦禾路,思明,3900
假日香港广场-厦禾路,思明,4200
假日香港广场-厦禾路,思明,3900
中国铁建海曦-观音山,思明,5500
嘉盛豪园-瑞景,思明,4000
嘉盛豪园-瑞景,思明,4100
侨福城-瑞景,思明,3400
福满山庄-瑞景,思明,3600
东芳山庄-槟榔东里,思明,25000
嘉盛豪园-瑞景,思明,1500
罗宾森广场二期-厦禾路,思明,4600
山木清华-莲前,思明,2600
卧龙晓城-莲前西路,思明,3500
卧龙晓城二期-莲前,思明,4700
云亭花园-金鸡亭,思明,4600
前埔北农贸市场小区-前埔北区,思明,2700
万寿花园-文园路,思明,5000
万寿新城-文园路,思明,3000
万寿新城-文园路,思明,3000
万寿花园-文园路,思明,5000
塔埔社区东区-观音山,思明,3400
华林紫微花园-莲前东路,思明,3800
华天花园-嘉禾路,思明,5900
英皇湖畔花苑-松柏,思明,5900
宝龙中心-莲花一村,思明,4900
宝华花园-湖滨北路,思明,2900
永升花园-松柏,思明,5200
新景花园-软件园,思明,3400
岭兜二里-软件园,思明,3300
江头长青K小区-松柏,思明,2700
宝龙中心一期-嘉禾路,思明,3000
莲坂小区-长青路,思明,3100
联谊广场-槟榔东里,思明,3800
瑞景公园-瑞景,思明,9200
自然家园-火车站,思明,2000
一代风华-松柏,思明,1900
一代风华-松柏,思明,1800
摩登时代大厦-嘉禾路,思明,2400
米兰春天-湖滨北路,思明,3000
禹洲世贸国际-火车站,思明,2900
九龙城-厦禾路,思明,2600
侨福城二期-莲前东路,思明,3350
禹州世贸国际-厦禾路,思明,3200
裕发广场-富山,思明,2400
源昌商业中心-富山,思明,8500
瑞丽花园-瑞景,思明,8500
鹭江新城-莲花三村,思明,4300
禹州世贸国际-厦禾路,思明,3100
禹州世贸国际-厦禾路,思明,4000
建设大厦-厦禾路,思明,5200
东方时代广场-禾祥西路,思明,3200
故宫裕景-厦禾路,思明,3900
先锋营小区-中山路,思明,1700
故宫小区-故宫路,思明,1700
中信广场-湖滨北路,思明,5500
米兰春天-湖滨北路,思明,3900
国际文化大厦-富山,思明,3600
岭兜佳园-软件园,思明,1700
新景花园-软件园,思明,2600
瑞景商业广场-瑞景,思明,3400
九龙城-厦禾路,思明,1150
嘉盛豪园-瑞景,思明,4500
故宫裕景-厦禾路,思明,3700
故宫裕景-厦禾路,思明,4000
怡祥花园-松柏,思明,1899
国贸怡河园-松柏,思明,7999
鑫塔水尚-观音山,思明,11000
御景苑-湖滨西路,思明,1600
福满山庄-瑞景,思明,2000
广景花园-东浦路,思明,1600
海峡国际社区一期-会展路,思明,6500
海峡国际社区二期-会展路,思明,4400
海峡国际社区一期-会展路,思明,20000
海峡国际社区四期-会展路,思明,6500
联发滨海名居-会展路,思明,6500
山木清华-莲前,思明,4200
卧龙晓城-槟榔东里,思明,4700
金鸡亭-金鸡亭,思明,3700
金鸡亭-金鸡亭,思明,3200
山木清华-莲前,思明,2900
中山海景广场-中山路,思明,1500
